1516.800000,1.2820E-009,1516.800000,1.2820E-009,1516.800000,1.2820E-009
1516.850000,1.0700E-008,1516.850000,1.0700E-008,1516.850000,1.0700E-008
1516.900000,-1.7420E-008,1516.900000,-1.7420E-008,1516.900000,-1.7420E-008
1516.950000,5.9580E-008,1516.950000,5.9580E-008,1516.950000,5.9580E-008
1517.000000,2.5980E-008,1517.000000,2.5980E-008,1517.000000,2.5980E-008
1517.050000,5.2860E-008,1517.050000,5.2860E-008,1517.050000,5.2860E-008
1517.100000,1.2430E-008,1517.100000,1.2430E-008,1517.100000,1.2430E-008
1517.150000,6.9640E-008,1517.150000,6.9640E-008,1517.150000,6.9640E-008
1517.200000,9.6590E-009,1517.200000,9.6590E-009,1517.200000,9.6590E-009
1517.250000,1.5890E-008,1517.250000,1.5890E-008,1517.250000,1.5890E-008
1517.300000,-2.5020E-008,1517.300000,-2.5020E-008,1517.300000,-2.5020E-008
1517.350000,6.1310E-008,1517.350000,6.1310E-008,1517.350000,6.1310E-008
1517.400000,1.7720E-008,1517.400000,1.7720E-008,1517.400000,1.7720E-008
1517.450000,6.1610E-008,1517.450000,6.1610E-008,1517.450000,6.1610E-008
1517.500000,2.7510E-008,1517.500000,2.7510E-008,1517.500000,2.7510E-008
1517.550000,3.7700E-008,1517.550000,3.7700E-008,1517.550000,3.7700E-008
1517.600000,2.5300E-008,1517.600000,2.5300E-008,1517.600000,2.5300E-008
1517.650000,-1.1940E-008,1517.650000,-1.1940E-008,1517.650000,-1.1940E-008
1517.700000,6.6520E-008,1517.700000,6.6520E-008,1517.700000,6.6520E-008
1517.750000,3.2680E-008,1517.750000,3.2680E-008,1517.750000,3.2680E-008
1517.800000,1.0360E-008,1517.800000,1.0360E-008,1517.800000,1.0360E-008
1517.850000,4.8640E-008,1517.850000,4.8640E-008,1517.850000,4.8640E-008
1517.900000,-7.5450E-009,1517.900000,-7.5450E-009,1517.900000,-7.5450E-009
1517.950000,5.1210E-008,1517.950000,5.1210E-008,1517.950000,5.1210E-008
1518.000000,4.0800E-008,1518.000000,4.0800E-008,1518.000000,4.0800E-008
1518.050000,1.6530E-008,1518.050000,1.6530E-008,1518.050000,1.6530E-008
1518.100000,6.4450E-008,1518.100000,6.4450E-008,1518.100000,6.4450E-008
1518.150000,2.1280E-008,1518.150000,2.1280E-008,1518.150000,2.1280E-008
1518.200000,3.5790E-008,1518.200000,3.5790E-008,1518.200000,3.5790E-008
1518.250000,3.4670E-008,1518.250000,3.4670E-008,1518.250000,3.4670E-008
1518.300000,7.4710E-008,1518.300000,7.4710E-008,1518.300000,7.4710E-008
1518.350000,4.1070E-008,1518.350000,4.1070E-008,1518.350000,4.1070E-008
1518.400000,3.0990E-008,1518.400000,3.0990E-008,1518.400000,3.0990E-008
1518.450000,1.0040E-008,1518.450000,1.0040E-008,1518.450000,1.0040E-008
1518.500000,1.9670E-008,1518.500000,1.9670E-008,1518.500000,1.9670E-008
1518.550000,4.4810E-008,1518.550000,4.4810E-008,1518.550000,4.4810E-008
1518.600000,4.6430E-008,1518.600000,4.6430E-008,1518.600000,4.6430E-008
1518.650000,3.0080E-008,1518.650000,3.0080E-008,1518.650000,3.0080E-008
1518.700000,5.4110E-008,1518.700000,5.4110E-008,1518.700000,5.4110E-008
1518.750000,6.4890E-008,1518.750000,6.4890E-008,1518.750000,6.4890E-008
1518.800000,2.7750E-008,1518.800000,2.7750E-008,1518.800000,2.7750E-008
1518.850000,-3.9320E-009,1518.850000,-3.9320E-009,1518.850000,-3.9320E-009
