,Ancho_espectral,Potencia,Theta2,Theta1,Theta3,Clases
1154,239.3814783347493,6.9953,92.0,108.0,0,0
1155,243.2550552251489,7.059374999999999,92.0,112.0,0,0
1156,266.16210705182675,7.068475,92.0,116.0,0,0
1157,302.306202209006,6.9601999999999995,92.0,120.0,0,0
1158,290.8805437553103,6.8854,92.0,124.0,0,0
1159,249.19082412914213,6.897733,92.0,128.0,0,0
1160,229.6000000000001,6.979875,92.0,132.0,0,0
1161,207.7240441801191,7.09275,92.0,136.0,0,2
1162,222.1593882752761,7.128475,92.0,140.0,0,0
1163,226.81325403568397,7.11908,92.0,144.0,0,0
1164,219.3169073916738,7.133225,92.0,148.0,0,0
1165,202.512829226848,7.15085,92.0,152.0,0,2
1166,225.78215802888712,7.12375,92.0,156.0,0,0
1167,248.8564146134238,7.0535,92.0,160.0,0,0
1168,254.31843670348348,6.99775,92.0,164.0,0,0
1169,244.03534409515737,6.98485,92.0,168.0,0,0
1170,256.1019541206458,6.992275,92.0,172.0,0,0
1171,218.64808836023803,7.035033,92.0,176.0,0,0
1172,184.4825828377232,7.153925,92.0,180.0,0,0
1173,173.86508071367894,7.318525,92.0,184.0,0,2
1174,242.948513169074,7.209875,92.0,188.0,0,0
1175,275.8042480883603,6.74092,92.0,192.0,0,0
1176,210.0649107901445,7.0497499999999995,96.0,0.0,0,2
1177,208.75514018691592,7.041525,96.0,4.0,0,2
1178,202.03908241291424,7.071333,96.0,8.0,0,2
1179,190.6134239592184,7.07955,96.0,12.0,0,2
1180,211.37468139337307,7.0587,96.0,16.0,0,2
1181,247.2958368734071,6.98015,96.0,20.0,0,0
1182,286.0594732370432,6.858124999999999,96.0,24.0,0,0
1183,272.265080713679,6.75186,96.0,28.0,0,0
1184,278.06151231945614,6.7017,96.0,32.0,0,0
1185,279.42701784197106,6.7223250000000005,96.0,36.0,0,0
1186,258.30348343245555,6.757924999999999,96.0,40.0,0,0
1187,257.0773152081563,6.781825,96.0,44.0,0,0
1188,231.4113848768054,6.82155,96.0,48.0,0,0
1189,216.50229396771465,6.883075,96.0,52.0,0,0
1190,213.18606627017857,6.947133,96.0,56.0,0,0
1191,212.79592183517437,7.003,96.0,60.0,0,2
1192,203.376720475786,7.056775,96.0,64.0,0,2
1193,201.53746813933756,7.077,96.0,68.0,0,2
1194,197.97043330501288,7.09106,96.0,72.0,0,2
1195,179.7451146983858,7.1078,96.0,76.0,0,0
1196,176.20594732370432,7.132325,96.0,80.0,0,0
1197,213.29753610875127,7.0924,96.0,84.0,0,2
1198,243.08785046728983,7.033875,96.0,88.0,0,0
