,Ancho_espectral,Potencia,Theta1,Theta2,Theta3,Clases
34,231.89668649107892,2.012599,136.0,0.0,0.0,0
35,222.03736318656595,2.015682,140.0,0.0,0.0,0
36,221.11445849367783,2.021159,144.0,0.0,0.0,0
37,220.2590834124644,2.025783,148.0,0.0,0.0,0
38,218.2106851916637,2.036582,152.0,0.0,0.0,0
39,208.7790494277574,2.042066,156.0,0.0,0.0,0
40,207.18084861812167,2.060507,160.0,0.0,0.0,0
41,201.10318356739452,2.073022,164.0,0.0,0.0,0
42,190.63609375780905,2.086401,168.0,0.0,0.0,0
43,189.6456594532458,2.09743,172.0,0.0,0.0,0
44,188.4076165725421,2.111223,176.0,0.0,0.0,0
45,183.83811284921785,2.119423,180.0,0.0,0.0,0
46,184.0407016842421,2.128551,184.0,0.0,0.0,0
47,184.58093857764,2.133212,188.0,0.0,0.0,0
48,184.9636063771302,2.138604,192.0,0.0,0.0,0
49,190.9512319456244,2.138038,196.0,0.0,0.0,0
50,191.5364885801389,2.138323,200.0,0.0,0.0,0
51,192.99963016642505,2.14307,0.0,4.0,0.0,0
52,193.60739667149772,2.143546,4.0,4.0,0.0,0
53,193.96755460042985,2.13413,8.0,4.0,0.0,0
54,194.2376730471285,2.130757,12.0,4.0,0.0,0
55,198.51454845319583,2.127667,16.0,4.0,0.0,0
56,198.3569793592883,2.121752,20.0,4.0,0.0,0
57,194.2151631765705,2.125975,24.0,4.0,0.0,0
58,183.95066220200897,2.1294,28.0,4.0,0.0,0
59,177.2202109050927,2.139559,32.0,4.0,0.0,0
60,166.68559148383224,2.145834,36.0,4.0,0.0,0
61,150.5910340346843,2.165419,40.0,4.0,0.0,1
62,133.91121995102208,2.182325,44.0,4.0,0.0,1
63,126.34790344345038,2.206377,48.0,4.0,0.0,1
64,122.701304413014,2.227585,52.0,4.0,0.0,1
65,120.83298515667956,2.244029,56.0,4.0,0.0,1
66,117.14136638512672,2.260819,60.0,4.0,0.0,1
67,106.17905942325956,2.272712,64.0,4.0,0.0,1
68,103.1402268978959,2.281994,68.0,4.0,0.0,1
69,98.77331200959566,2.291245,72.0,4.0,0.0,1
70,97.89542705782378,2.295828,76.0,4.0,0.0,1
71,98.79582188015388,2.293687,80.0,4.0,0.0,1
72,103.41034534459504,2.283761,84.0,4.0,0.0,1
73,113.76488580138924,2.269129,88.0,4.0,0.0,1
74,128.08116347643568,2.251106,92.0,4.0,0.0,1
75,143.86058273776803,2.234453,96.0,4.0,0.0,1
76,145.57133290019488,2.206918,100.0,4.0,0.0,1
77,167.90112449397748,2.17316,104.0,4.0,0.0,0
78,171.30011494827318,2.145115,108.0,4.0,0.0,0
79,203.8944075166173,2.121231,112.0,4.0,0.0,0
80,216.43240541756225,2.095608,116.0,4.0,0.0,0
81,231.71660752661296,2.077677,120.0,4.0,0.0,0
82,227.3271827677545,2.059058,124.0,4.0,0.0,0
83,222.32999150382307,2.052078,128.0,4.0,0.0,0
84,221.63218551651744,2.045751,132.0,4.0,0.0,0
85,216.45491528812025,2.043748,136.0,4.0,0.0,0
86,211.8629016942375,2.03974,140.0,4.0,0.0,0
87,215.12683292518363,2.046049,144.0,4.0,0.0,0
88,210.08462192013576,2.046395,148.0,4.0,0.0,0
89,204.32209505722403,2.0641,152.0,4.0,0.0,0
90,203.06154230596235,2.075975,156.0,4.0,0.0,0
91,201.48585136688484,2.087185,160.0,4.0,0.0,0
92,191.94166625018732,2.097677,164.0,4.0,0.0,0
93,190.52354440501767,2.110963,168.0,4.0,0.0,0
94,184.58093857764,2.1238,172.0,4.0,0.0,0
95,184.01819181368387,2.135059,176.0,4.0,0.0,0
96,184.3783497426159,2.140994,180.0,4.0,0.0,0
97,184.53591883652348,2.15015,184.0,4.0,0.0,0
98,185.32376430606223,2.159127,188.0,4.0,0.0,0
99,185.00862611824664,2.161323,192.0,4.0,0.0,0
100,190.18589634664383,2.164501,196.0,4.0,0.0,0
101,182.84767854465483,2.164337,200.0,4.0,0.0,0
102,174.06882902693792,2.195827,0.0,8.0,0.0,0
103,164.43460442800733,2.190714,4.0,8.0,0.0,1
104,169.0491278924485,2.188474,8.0,8.0,0.0,0
105,164.9748413214054,2.186463,12.0,8.0,0.0,0
106,154.9129291818681,2.182822,16.0,8.0,0.0,1
107,154.12508371232957,2.181404,20.0,8.0,0.0,1
108,145.1886651007046,2.173358,24.0,8.0,0.0,1
109,144.19823079614162,2.17988,28.0,8.0,0.0,1
110,143.05022739767105,2.185648,32.0,8.0,0.0,1
111,135.80204907791494,2.195259,36.0,8.0,0.0,1
112,126.1903343495428,2.207606,40.0,8.0,0.0,1
113,121.08059373282003,2.223684,44.0,8.0,0.0,1
114,122.00349842570836,2.240957,48.0,8.0,0.0,1
115,115.7907741516317,2.255099,52.0,8.0,0.0,1
116,104.1306612024589,2.26993,56.0,8.0,0.0,1
117,100.93425958318768,2.280473,60.0,8.0,0.0,1
118,97.0625618471688,2.293324,64.0,8.0,0.0,1
119,95.32930181418374,2.307384,68.0,8.0,0.0,1
120,87.04566944874819,2.320924,72.0,8.0,0.0,1
121,86.82057074316572,2.324537,76.0,8.0,0.0,1
122,86.75304113149059,2.328925,80.0,8.0,0.0,1
123,87.47335698935467,2.327459,84.0,8.0,0.0,1
124,88.59885051726724,2.317851,88.0,8.0,0.0,1
125,97.76036783447444,2.297444,92.0,8.0,0.0,1
126,110.16330651206954,2.275558,96.0,8.0,0.0,1
