,Ancho_espectral,Potencia,Theta2,Theta1,Theta3,Clases
134,235.2570943075616,6.93206,8.0,144.0,0,1
135,246.0139337298217,6.9044,8.0,148.0,0,1
136,251.448088360238,6.885149999999999,8.0,152.0,0,1
137,251.64316057774025,6.89095,8.0,156.0,0,1
138,246.40407816482596,6.91605,8.0,160.0,0,1
139,229.1819881053525,6.9548,8.0,164.0,0,1
140,221.26762956669492,6.9863,8.0,168.0,0,1
141,208.19779099405264,7.040325,8.0,172.0,0,2
142,265.21461342395924,6.908033,8.0,176.0,0,1
143,250.22192013593892,6.926175,8.0,180.0,0,1
144,238.74052676295676,6.96765,8.0,184.0,0,1
145,216.25148683092607,7.0818,8.0,188.0,0,1
146,216.61376380628712,7.06516,8.0,192.0,0,1
147,204.0176720475788,7.067075,12.0,0.0,0,2
148,201.5374681393373,7.06595,12.0,4.0,0,2
149,196.82786745964316,7.099775,12.0,8.0,0,2
150,196.68853016142748,7.120533,12.0,12.0,0,2
151,205.299575191164,7.10565,12.0,16.0,0,2
152,223.27408666100268,7.06605,12.0,20.0,0,1
153,227.34273576890405,7.023350000000001,12.0,24.0,0,1
154,232.9162276975362,7.008699999999999,12.0,28.0,0,1
155,235.7865760407817,7.0236,12.0,32.0,0,1
156,218.6202209005949,7.036175,12.0,36.0,0,2
157,211.2632115548004,7.07,12.0,40.0,0,2
158,203.07017841971128,7.092325,12.0,44.0,0,2
159,200.3670348343246,7.106274999999999,12.0,48.0,0,2
160,237.2914188615125,6.969,12.0,52.0,0,1
161,277.1976210705184,6.842875,12.0,56.0,0,1
162,254.56924384027184,6.805475,12.0,60.0,0,1
163,222.93967714528455,6.88304,12.0,64.0,0,2
164,228.1508920985557,6.8772,12.0,68.0,0,2
165,244.3140186915889,6.853625,12.0,72.0,0,1
166,248.0203908241292,6.849375,12.0,76.0,0,1
167,256.6314358538657,6.86915,12.0,80.0,0,1
168,250.4448598130841,6.87735,12.0,84.0,0,1
169,252.8135938827529,6.867624999999999,12.0,88.0,0,1
170,254.402039082413,6.843567,12.0,92.0,0,1
171,251.50382327952457,6.827475000000001,12.0,96.0,0,1
172,254.01189464740852,6.806150000000001,12.0,100.0,0,1
173,255.9347493627868,6.7929,12.0,104.0,0,1
174,261.7590484282073,6.78104,12.0,108.0,0,1
175,263.96057774001724,6.765499999999999,12.0,112.0,0,1
176,259.1952421410365,6.7399249999999995,12.0,116.0,0,1
177,262.1770603228549,6.734025,12.0,120.0,0,1
178,257.6903993203059,6.7614,12.0,124.0,0,1
179,268.0292268479186,6.80325,12.0,128.0,0,1
180,289.765845369584,6.8113,12.0,132.0,0,1
181,284.7218351741717,6.829325,12.0,136.0,0,1
182,226.28377230246383,6.932650000000001,12.0,140.0,0,1
183,213.43687340696687,6.9806,12.0,144.0,0,2
184,219.98572642310955,6.988580000000001,12.0,148.0,0,1
185,225.8657604078164,6.9777499999999995,12.0,152.0,0,1
186,227.78861512319463,6.9722,12.0,156.0,0,1
187,229.5163976210706,6.9721,12.0,160.0,0,1
188,226.2280373831777,6.9864999999999995,12.0,164.0,0,1
189,214.99745114698385,7.01515,12.0,168.0,0,2
190,236.4275276125743,7.0072,12.0,172.0,0,1
191,285.11197960917593,6.9067750000000006,12.0,176.0,0,1
192,237.5143585386577,6.9323,12.0,180.0,0,1
193,219.9578589634664,7.069425,12.0,184.0,0,1
194,228.95904842820755,7.053625,12.0,188.0,0,1
195,232.86049277824964,7.02728,12.0,192.0,0,1
196,207.9191163976211,7.0361,16.0,0.0,0,2
197,194.26406117247237,7.084325,16.0,4.0,0,2
198,191.53305012744272,7.105099999999999,16.0,8.0,0,2
199,199.9490229396772,7.080533,16.0,12.0,0,2
200,209.8419711129993,7.0539499999999995,16.0,16.0,0,2
201,218.98249787595591,7.033175,16.0,20.0,0,2
202,219.67918436703485,7.0217600000000004,16.0,24.0,0,2
203,220.84961767204757,7.022125,16.0,28.0,0,2
204,210.3993203058626,7.047225,16.0,32.0,0,2
205,209.9534409515718,7.056675,16.0,36.0,0,2
206,204.435683942226,7.054600000000001,16.0,40.0,0,2
207,237.9045029736617,6.949999999999999,16.0,44.0,0,1
208,279.87289719626165,6.8173,16.0,48.0,0,1
209,254.2069668649108,6.8205,16.0,52.0,0,1
210,214.96958368734067,6.96035,16.0,56.0,0,2
211,211.5418861512321,6.9909669999999995,16.0,60.0,0,2
212,227.45420560747675,6.972825,16.0,64.0,0,1
213,233.41784197111315,6.932024999999999,16.0,68.0,0,1
214,239.82735768904013,6.904974999999999,16.0,72.0,0,1
215,244.3976210705182,6.90814,16.0,76.0,0,1
216,248.63347493627865,6.911325000000001,16.0,80.0,0,1
217,249.05148683092625,6.898725,16.0,84.0,0,1
218,252.47918436703503,6.8740499999999995,16.0,88.0,0,1
219,253.42667799490252,6.85345,16.0,92.0,0,1
220,255.43313508920983,6.8269,16.0,96.0,0,1
221,258.8608326253186,6.8075,16.0,100.0,0,1
222,263.960577740017,6.77815,16.0,104.0,0,1
223,264.54579439252325,6.7324,16.0,108.0,0,1
224,264.8523364485982,6.694,16.0,112.0,0,1
225,270.0078164825827,6.670725,16.0,116.0,0,1
226,263.9884451996604,6.699339999999999,16.0,120.0,0,1
227,257.2166525063724,6.74475,16.0,124.0,0,1
228,261.5082412914189,6.80895,16.0,128.0,0,1
229,289.0412914188614,6.832225,16.0,132.0,0,1
230,275.3583687340697,6.866525,16.0,136.0,0,1
231,230.93763806287168,6.948325,16.0,140.0,0,1
232,213.8827527612575,7.015425,16.0,144.0,0,2
233,212.32217502124035,7.03155,16.0,148.0,0,2
234,211.29107901444357,7.0389,16.0,152.0,0,2
235,216.3072217502124,7.042633,16.0,156.0,0,1
236,255.73967714528453,6.98915,16.0,160.0,0,1
237,261.8983857264232,6.91905,16.0,164.0,0,1
238,244.06321155480032,6.928575,16.0,168.0,0,1
239,230.2688190314359,7.02576,16.0,172.0,0,1
240,233.38997451147,7.020099999999999,16.0,176.0,0,1
241,225.39201359388267,7.025175,16.0,180.0,0,1
242,221.29549702633813,7.020175,16.0,184.0,0,1
243,227.67714528462196,7.000425,16.0,188.0,0,1
244,232.88836023789304,6.98305,16.0,192.0,0,1
245,263.48683092608326,6.8254,20.0,0.0,0,1
246,246.26474086661003,6.801975,20.0,4.0,0,2
247,215.526932880204,6.8886,20.0,8.0,0,2
248,210.4829226847919,6.9877,20.0,12.0,0,2
249,196.07544604927784,7.0467200000000005,20.0,16.0,0,2
250,191.5609175870859,7.07055,20.0,20.0,0,2
251,206.49787595581984,7.062275,20.0,24.0,0,2
252,211.40254885301624,7.04385,20.0,28.0,0,2
253,217.5055225148683,7.0424,20.0,32.0,0,2
254,202.84723874256588,7.052275,20.0,36.0,0,2
255,203.73899745114704,7.03785,20.0,40.0,0,2
256,232.0802039082412,6.922925,20.0,44.0,0,1
257,280.2630416312659,6.814833,20.0,48.0,0,1
258,267.8062871707732,6.816475,20.0,52.0,0,1
259,228.7639762107051,6.890975,20.0,56.0,0,2
260,207.6683092608328,6.985325,20.0,60.0,0,2
261,216.92030586236208,7.03496,20.0,64.0,0,1
262,225.22480883602384,7.0484,20.0,68.0,0,1
263,229.7114698385726,7.041875,20.0,72.0,0,1
264,229.48853016142743,7.0002249999999995,20.0,76.0,0,1
265,234.61614273576905,6.9776,20.0,80.0,0,1
266,233.1391673746816,6.964725,20.0,84.0,0,1
267,239.04706881903144,6.952025,20.0,88.0,0,1
268,242.92064570943057,6.937467,20.0,92.0,0,1
