1511.200000,4.8820E-008,1511.200000,4.8820E-008,1511.200000,4.8820E-008
1511.250000,-3.3000E-008,1511.250000,-3.3000E-008,1511.250000,-3.3000E-008
1511.300000,-1.4460E-008,1511.300000,-1.4460E-008,1511.300000,-1.4460E-008
1511.350000,-7.1890E-009,1511.350000,-7.1890E-009,1511.350000,-7.1890E-009
1511.400000,2.8970E-008,1511.400000,2.8970E-008,1511.400000,2.8970E-008
1511.450000,6.2340E-008,1511.450000,6.2340E-008,1511.450000,6.2340E-008
1511.500000,5.9280E-009,1511.500000,5.9280E-009,1511.500000,5.9280E-009
1511.550000,-3.1580E-008,1511.550000,-3.1580E-008,1511.550000,-3.1580E-008
1511.600000,4.0120E-008,1511.600000,4.0120E-008,1511.600000,4.0120E-008
1511.650000,-2.9340E-008,1511.650000,-2.9340E-008,1511.650000,-2.9340E-008
1511.700000,1.4410E-008,1511.700000,1.4410E-008,1511.700000,1.4410E-008
1511.750000,4.8180E-008,1511.750000,4.8180E-008,1511.750000,4.8180E-008
1511.800000,-1.1400E-008,1511.800000,-1.1400E-008,1511.800000,-1.1400E-008
1511.850000,1.0550E-008,1511.850000,1.0550E-008,1511.850000,1.0550E-008
1511.900000,1.3690E-008,1511.900000,1.3690E-008,1511.900000,1.3690E-008
1511.950000,-5.2090E-009,1511.950000,-5.2090E-009,1511.950000,-5.2090E-009
1512.000000,-4.0230E-008,1512.000000,-4.0230E-008,1512.000000,-4.0230E-008
1512.050000,3.2800E-008,1512.050000,3.2800E-008,1512.050000,3.2800E-008
1512.100000,-9.1470E-009,1512.100000,-9.1470E-009,1512.100000,-9.1470E-009
1512.150000,-8.7600E-009,1512.150000,-8.7600E-009,1512.150000,-8.7600E-009
1512.200000,2.8800E-008,1512.200000,2.8800E-008,1512.200000,2.8800E-008
1512.250000,1.1140E-008,1512.250000,1.1140E-008,1512.250000,1.1140E-008
1512.300000,-1.1220E-009,1512.300000,-1.1220E-009,1512.300000,-1.1220E-009
1512.350000,4.8170E-008,1512.350000,4.8170E-008,1512.350000,4.8170E-008
1512.400000,3.5310E-008,1512.400000,3.5310E-008,1512.400000,3.5310E-008
1512.450000,-1.2570E-008,1512.450000,-1.2570E-008,1512.450000,-1.2570E-008
1512.500000,-9.2920E-009,1512.500000,-9.2920E-009,1512.500000,-9.2920E-009
1512.550000,2.7720E-008,1512.550000,2.7720E-008,1512.550000,2.7720E-008
1512.600000,6.0550E-009,1512.600000,6.0550E-009,1512.600000,6.0550E-009
1512.650000,1.1500E-008,1512.650000,1.1500E-008,1512.650000,1.1500E-008
1512.700000,1.9940E-008,1512.700000,1.9940E-008,1512.700000,1.9940E-008
1512.750000,-3.8970E-009,1512.750000,-3.8970E-009,1512.750000,-3.8970E-009
1512.800000,2.1020E-008,1512.800000,2.1020E-008,1512.800000,2.1020E-008
1512.850000,3.3950E-008,1512.850000,3.3950E-008,1512.850000,3.3950E-008
1512.900000,-3.7130E-009,1512.900000,-3.7130E-009,1512.900000,-3.7130E-009
1512.950000,-4.2860E-009,1512.950000,-4.2860E-009,1512.950000,-4.2860E-009
1513.000000,-2.1700E-008,1513.000000,-2.1700E-008,1513.000000,-2.1700E-008
1513.050000,-4.2750E-009,1513.050000,-4.2750E-009,1513.050000,-4.2750E-009
1513.100000,1.7910E-008,1513.100000,1.7910E-008,1513.100000,1.7910E-008
1513.150000,3.3990E-008,1513.150000,3.3990E-008,1513.150000,3.3990E-008
1513.200000,3.6820E-008,1513.200000,3.6820E-008,1513.200000,3.6820E-008
1513.250000,5.8430E-009,1513.250000,5.8430E-009,1513.250000,5.8430E-009
1513.300000,8.6420E-009,1513.300000,8.6420E-009,1513.300000,8.6420E-009
1513.350000,-1.0940E-008,1513.350000,-1.0940E-008,1513.350000,-1.0940E-008
1513.400000,6.4820E-009,1513.400000,6.4820E-009,1513.400000,6.4820E-009
1513.450000,4.1290E-008,1513.450000,4.1290E-008,1513.450000,4.1290E-008
1513.500000,1.4960E-008,1513.500000,1.4960E-008,1513.500000,1.4960E-008
1513.550000,7.7790E-008,1513.550000,7.7790E-008,1513.550000,7.7790E-008
1513.600000,-3.1690E-008,1513.600000,-3.1690E-008,1513.600000,-3.1690E-008
1513.650000,-5.6730E-009,1513.650000,-5.6730E-009,1513.650000,-5.6730E-009
1513.700000,-1.2040E-008,1513.700000,-1.2040E-008,1513.700000,-1.2040E-008
1513.750000,8.7860E-009,1513.750000,8.7860E-009,1513.750000,8.7860E-009
1513.800000,6.3680E-008,1513.800000,6.3680E-008,1513.800000,6.3680E-008
1513.850000,4.2290E-008,1513.850000,4.2290E-008,1513.850000,4.2290E-008
1513.900000,4.0270E-008,1513.900000,4.0270E-008,1513.900000,4.0270E-008
1513.950000,6.8420E-009,1513.950000,6.8420E-009,1513.950000,6.8420E-009
1514.000000,-2.9400E-009,1514.000000,-2.9400E-009,1514.000000,-2.9400E-009
1514.050000,-3.5340E-008,1514.050000,-3.5340E-008,1514.050000,-3.5340E-008
1514.100000,4.6350E-008,1514.100000,4.6350E-008,1514.100000,4.6350E-008
1514.150000,3.9140E-009,1514.150000,3.9140E-009,1514.150000,3.9140E-009
1514.200000,9.6450E-009,1514.200000,9.6450E-009,1514.200000,9.6450E-009
1514.250000,-3.3080E-008,1514.250000,-3.3080E-008,1514.250000,-3.3080E-008
1514.300000,5.7580E-008,1514.300000,5.7580E-008,1514.300000,5.7580E-008
