Theta1,Theta2,Theta3,Ancho_espectral,Potencia,Clases
48,16,0,10.21153909,0.0122805,1
56,16,0,10.27908385,0.0122285,1
60,16,0,10.4203138,0.0122435,1
64,16,0,9.922938771,0.01222275,1
68,16,0,10.04574742,0.0122255,1
72,16,0,10.5922459,0.01221175,1
76,16,0,9.990483528,0.012218,1
80,16,0,10.67821196,0.01218625,1
84,16,0,10.22996039,0.012188,1
88,16,0,10.57382461,0.01220925,1
92,16,0,10.57382461,0.0122115,1
96,16,0,10.51856071,0.0122185,1
100,16,0,10.16855607,0.01222325,1
104,16,0,10.01504526,0.01219175,1
108,16,0,10.41417336,0.012204,1
112,16,0,10.48785855,0.01223075,1
116,16,0,9.947500501,0.01220475,1
120,16,0,9.904517474,0.01223375,0
124,16,0,9.935219636,0.012205,1
128,16,0,9.892236609,0.0122165,0
132,16,0,9.898377042,0.0122165,0
136,16,0,9.910657907,0.0122025,0
140,16,0,9.935219636,0.01222,0
144,16,0,9.910657907,0.01222625,0
152,16,0,9.978202663,0.012241,0
156,16,0,10.26066255,0.012217,1
160,16,0,10.6106672,0.0122305,1
164,16,0,10.53084158,0.01221025,1
168,16,0,10.63522893,0.01222075,1
172,16,0,10.62294807,0.0122265,1
176,16,0,10.13785391,0.0122515,0
180,16,0,10.08873045,0.01224175,0
184,16,0,10.11943261,0.01222525,0
188,16,0,10.47557769,0.01223725,0
192,16,0,10.08873045,0.0122505,0
196,16,0,10.05188785,0.01222575,0
200,16,0,10.02732612,0.01222375,0
204,16,0,9.978202663,0.0122485,0
208,16,0,9.947500501,0.01224,0
212,16,0,10.56154374,0.01219875,1
0,20,0,10.54926288,0.012316,1
8,20,0,10.1931178,0.01229,1
12,20,0,10.49399899,0.012278,1
16,20,0,10.51242028,0.0123045,1
20,20,0,10.50013942,0.012329,1
24,20,0,10.37119034,0.01229775,1
28,20,0,10.24838169,0.01232175,0
32,20,0,10.08259001,0.012286,1
36,20,0,10.28522428,0.012315,1
40,20,0,9.683461907,0.012313,0
44,20,0,10.05802828,0.01229,0
48,20,0,9.898377042,0.01227925,0
52,20,0,9.652759745,0.01227375,0
56,20,0,10.07644958,0.012239,1
60,20,0,10.12557304,0.0122465,1
64,20,0,9.671181043,0.01220725,1
68,20,0,9.904517474,0.01221775,1
72,20,0,9.830832285,0.01224,0
76,20,0,10.22381996,0.0122305,1
80,20,0,10.44487553,0.012205,1
84,20,0,10.41417336,0.012235,1
88,20,0,10.05802828,0.0122415,1
92,20,0,9.947500501,0.01223725,0
96,20,0,9.757147096,0.01223425,0
100,20,0,10.35276904,0.01221175,1
104,20,0,10.30364558,0.0121905,1
108,20,0,10.19925823,0.01224025,1
112,20,0,10.4018925,0.01221675,1
116,20,0,10.52470115,0.0122125,1
120,20,0,10.56154374,0.01224,1
124,20,0,9.824691853,0.0122345,0
128,20,0,9.904517474,0.01223025,0
132,20,0,9.916798339,0.0122365,0
136,20,0,10.49399899,0.01222225,1
140,20,0,10.24224126,0.012227,0
144,20,0,10.13785391,0.0122425,0
148,20,0,9.769427961,0.01223425,0
152,20,0,9.898377042,0.01223725,0
156,20,0,10.37733077,0.01224375,0
160,20,0,9.965921798,0.0122485,0
164,20,0,10.43873509,0.01224075,0
168,20,0,9.990483528,0.01223175,0
172,20,0,10.33434774,0.012245,0
176,20,0,10.27294342,0.012248,0
180,20,0,10.21153909,0.01226125,0
184,20,0,10.35890947,0.012231,0
188,20,0,10.25452212,0.01226075,0
192,20,0,10.22996039,0.012227,0
196,20,0,9.972062231,0.01225725,0
200,20,0,9.892236609,0.01225625,0
204,20,0,10.24838169,0.01226425,0
208,20,0,9.922938771,0.01222725,0
212,20,0,10.46329682,0.012231,0
0,24,0,10.64136936,0.01230125,1
4,24,0,10.57996504,0.01227675,1
8,24,0,10.64136936,0.0122805,1
12,24,0,10.54926288,0.0122685,1
16,24,0,10.6290885,0.01226375,1
20,24,0,10.67821196,0.0123145,1
24,24,0,10.57382461,0.0122865,1
28,24,0,10.52470115,0.0123075,1
32,24,0,10.48171812,0.01230775,1
40,24,0,10.07644958,0.01233075,0
44,24,0,9.984343095,0.01233025,0
48,24,0,10.07644958,0.01228,0
52,24,0,10.02118569,0.0122845,0
56,24,0,9.947500501,0.012275,0
60,24,0,9.965921798,0.012247,1
64,24,0,10.00276439,0.0122795,0
68,24,0,10.14399434,0.0122315,1
72,24,0,10.24838169,0.012249,1
76,24,0,10.33434774,0.01222875,1
80,24,0,10.46943726,0.012222,1
84,24,0,10.25452212,0.0122255,1
88,24,0,10.18083693,0.01224825,1
92,24,0,10.11329218,0.0122485,0
96,24,0,10.26680299,0.0122455,1
100,24,0,10.16855607,0.01225875,0
104,24,0,10.21767953,0.0122775,0
108,24,0,10.09487088,0.01224225,0
112,24,0,10.21767953,0.01224,0
120,24,0,10.25452212,0.01223725,0
124,24,0,10.35890947,0.01222375,1
128,24,0,10.28522428,0.0122175,1
132,24,0,10.37733077,0.0122415,0
136,24,0,10.38961163,0.0122265,1
140,24,0,10.30978601,0.01222625,0
148,24,0,10.22996039,0.01222,0
152,24,0,10.23610082,0.01228275,0
156,24,0,10.11943261,0.0122605,0
160,24,0,10.12557304,0.01224325,0
164,24,0,10.13171347,0.01224975,0
168,24,0,9.714164069,0.012263,0
172,24,0,10.04574742,0.012287,0
176,24,0,10.10715174,0.01227525,0
180,24,0,10.02732612,0.012258,0
184,24,0,10.07644958,0.01228025,0
188,24,0,9.787849258,0.01230375,0
192,24,0,9.769427961,0.0122745,0
196,24,0,9.86767488,0.01227275,0
200,24,0,9.824691853,0.0123,0
204,24,0,9.99662396,0.012271,0
208,24,0,10.05802828,0.01223775,0
212,24,0,10.1931178,0.01226475,0
0,28,0,10.64136936,0.01230475,1
4,28,0,10.71505455,0.0122745,1
8,28,0,10.53698201,0.01228425,1
12,28,0,10.5922459,0.01232025,1
16,28,0,10.49399899,0.012275,1
20,28,0,10.75803758,0.012275,1
24,28,0,10.73961628,0.01230875,1
28,28,0,10.40803293,0.01231675,1
32,28,0,10.37733077,0.01232425,0
36,28,0,10.27294342,0.01233375,0
40,28,0,10.11943261,0.01232075,0
44,28,0,9.622057583,0.012292,0
48,28,0,10.22996039,0.0123105,0
52,28,0,9.615917151,0.012289,0
56,28,0,9.732585367,0.01226275,0
60,28,0,9.738725799,0.01226325,0
64,28,0,9.806270556,0.012266,0
68,28,0,10.16855607,0.01226775,0
72,28,0,10.19925823,0.01224875,1
76,28,0,10.21153909,0.012241,1
80,28,0,10.26066255,0.012266,0
84,28,0,9.658900178,0.01225075,0
88,28,0,9.388721152,0.01225875,0
92,28,0,9.879955744,0.01226225,0
96,28,0,9.272052936,0.01227175,0
100,28,0,9.351878557,0.01223925,0
104,28,0,10.05802828,0.0122655,0
108,28,0,9.499248935,0.012293,0
112,28,0,9.941360069,0.0122535,0
116,28,0,9.327316828,0.01225875,0
120,28,0,10.22381996,0.0122275,0
124,28,0,10.25452212,0.01225025,0
128,28,0,9.597495854,0.012269,0
132,28,0,9.646619313,0.01224275,0
136,28,0,9.628198016,0.012255,0
140,28,0,9.658900178,0.012253,0
144,28,0,9.609776719,0.01228025,0
148,28,0,9.634338448,0.0122455,0
152,28,0,9.861534447,0.01225725,0
156,28,0,10.08873045,0.0122555,0
160,28,0,10.04574742,0.01226925,0
164,28,0,10.03960699,0.01225575,0
168,28,0,10.05802828,0.0122725,0
172,28,0,9.972062231,0.01228075,0
176,28,0,10.05802828,0.01230975,0
180,28,0,10.08873045,0.01228075,0
184,28,0,10.05188785,0.01229925,0
188,28,0,10.03346655,0.01228625,0
192,28,0,9.965921798,0.01231,0
196,28,0,10.04574742,0.01228825,0
200,28,0,9.855394015,0.0122955,0
204,28,0,10.00890483,0.01228575,0
208,28,0,9.941360069,0.01227825,0
212,28,0,10.11943261,0.0122475,0
0,32,0,10.8378632,0.01229175,1
4,32,0,10.88084623,0.01227225,1
8,32,0,10.89926752,0.0122775,1
