,Theta1,Theta2,Theta3,Power,Ancho_espectral
41,0.0,164.0,0,0.006912425,250.24978759558212
42,0.0,168.0,0,0.006885975,249.55310110450296
43,0.0,172.0,0,0.00687865,263.6819031435855
44,0.0,176.0,0,0.00696595,256.12982158028876
45,0.0,180.0,0,0.0070036,233.05556499575187
46,0.0,184.0,0,0.0069677,247.12863211554804
47,0.0,188.0,0,0.006928525,267.52761257434145
48,0.0,192.0,0,0.006893075,283.74647408666124
49,4.0,0.0,0,0.00711405,201.1194562446899
50,4.0,4.0,0,0.00710745,205.82905692438408
51,4.0,8.0,0,0.00707745,213.68768054375528
52,4.0,12.0,0,0.007044775,225.36414613423972
53,4.0,16.0,0,0.0070045,229.5999999999999
54,4.0,20.0,0,0.00699285,234.1981308411216
55,4.0,24.0,0,0.00700315,237.90450297366192
56,4.0,28.0,0,0.007016625,230.43602378929472
57,4.0,32.0,0,0.007026475,235.3685641461343
58,4.0,36.0,0,0.007038975,220.06932880203908
59,4.0,40.0,0,0.00706675,205.91265930331338
60,4.0,44.0,0,0.00709755,199.44740866610027
61,4.0,48.0,0,0.00714535,201.2309260832626
62,4.0,52.0,0,0.00713015,202.56856414613435
63,4.0,56.0,0,0.007054925,219.40050977060332
64,4.0,60.0,0,0.0069033,250.2497875955819
65,4.0,64.0,0,0.006692375,302.5848768054377
66,4.0,68.0,0,0.00677225,239.4093457943925
67,4.0,72.0,0,0.006774825,266.9423959218352
68,4.0,76.0,0,0.0066695,270.565165675446
69,4.0,80.0,0,0.006596725,289.7101104502974
70,4.0,84.0,0,0.006594675,282.882582837723
71,4.0,88.0,0,0.00661025,294.55904842820723
72,4.0,92.0,0,0.00662415,290.1838572642314
73,4.0,96.0,0,0.006639925,286.0037383177571
74,4.0,100.0,0,0.006663075,289.1248937977912
75,4.0,104.0,0,0.00670285,265.85556499575205
76,4.0,108.0,0,0.006757575,254.68071367884454
77,4.0,112.0,0,0.006805175,285.50212404418016
78,4.0,116.0,0,0.006808125,275.7763806287171
79,4.0,120.0,0,0.006844425,277.83857264231096
80,4.0,124.0,0,0.0069378,221.239762107052
81,4.0,128.0,0,0.00697075,219.3169073916738
82,4.0,132.0,0,0.006969975,219.37264231096015
83,4.0,136.0,0,0.006966275,224.27731520815655
84,4.0,140.0,0,0.0069523,226.84112149532712
